iter	Passed	Remaining
0	143	143672
1	144	72191
2	145	48327
3	146	36401
4	146	29250
5	147	24463
6	148	21072
7	149	18504
8	150	16521
9	150	14943
10	151	13639
11	152	12568
12	153	11661
13	154	10876
14	155	10189
15	156	9594
16	156	9069
17	157	8596
18	158	8176
19	159	7797
20	159	7451
21	160	7137
22	161	6853
23	162	6599
24	163	6360
25	163	6136
26	164	5926
27	165	5737
28	165	5556
29	166	5387
30	167	5234
31	168	5092
32	169	4961
33	170	4832
34	170	4709
35	171	4596
36	172	4486
37	173	4381
38	173	4281
39	174	4190
40	175	4102
41	176	4018
42	177	3943
43	178	3868
44	178	3793
45	179	3723
46	180	3655
47	181	3591
48	181	3529
49	182	3468
50	183	3411
51	184	3356
52	184	3303
53	185	3251
54	186	3202
55	187	3156
56	187	3109
57	188	3064
58	189	3021
59	190	2980
60	191	2942
61	191	2903
62	192	2866
63	193	2829
64	194	2793
65	194	2758
66	195	2724
67	196	2691
68	197	2658
69	197	2626
70	198	2594
71	199	2567
72	199	2538
73	200	2509
74	201	2481
75	201	2453
76	202	2426
77	203	2400
78	203	2374
79	204	2349
80	204	2325
81	205	2303
82	206	2277
83	206	2254
84	207	2232
85	208	2212
86	208	2192
87	209	2171
88	210	2152
89	211	2133
90	211	2115
91	212	2096
92	213	2078
93	213	2060
94	214	2043
95	215	2026
96	215	2010
97	216	1994
98	217	1980
99	218	1965
100	219	1949
101	219	1933
102	220	1918
103	220	1903
104	221	1888
105	222	1873
106	222	1859
107	223	1846
108	224	1833
109	224	1819
110	225	1806
111	226	1793
112	226	1781
113	227	1768
114	228	1756
115	228	1743
116	229	1730
117	230	1719
118	230	1707
119	231	1696
120	232	1685
121	232	1673
122	233	1662
123	233	1652
124	234	1641
125	235	1630
126	235	1619
127	236	1610
128	237	1601
129	237	1591
130	238	1581
131	239	1572
132	239	1562
133	240	1553
134	241	1544
135	241	1535
136	242	1526
137	243	1518
138	243	1509
139	244	1500
140	245	1494
141	245	1485
142	246	1477
143	247	1469
144	247	1461
145	248	1453
146	249	1445
147	249	1437
148	250	1430
149	251	1422
150	251	1415
151	252	1408
152	253	1400
153	253	1393
154	254	1386
155	255	1380
156	255	1373
157	256	1366
158	257	1359
159	257	1354
160	258	1346
161	259	1340
162	259	1334
163	260	1329
164	261	1323
165	262	1317
166	262	1310
167	263	1304
168	264	1298
169	264	1292
170	265	1286
171	266	1280
172	266	1274
173	267	1269
174	268	1264
175	268	1258
176	269	1252
177	270	1247
178	270	1241
179	271	1235
180	271	1230
181	272	1225
182	273	1220
183	274	1215
184	274	1210
185	275	1205
186	276	1200
187	276	1195
188	277	1190
189	278	1185
190	278	1180
191	279	1176
192	280	1171
193	280	1166
194	281	1162
195	282	1157
196	282	1153
197	283	1148
198	284	1144
199	284	1139
200	285	1134
201	286	1130
202	286	1126
203	287	1121
204	288	1117
205	288	1113
206	289	1109
207	290	1105
208	290	1100
209	291	1096
210	292	1093
211	293	1089
212	293	1085
213	294	1080
214	295	1077
215	295	1073
216	296	1069
217	296	1065
218	297	1061
219	298	1057
220	298	1053
221	299	1050
222	300	1046
223	301	1042
224	301	1039
225	302	1036
226	303	1033
227	304	1030
228	305	1027
229	306	1025
230	307	1022
231	307	1019
232	308	1015
233	309	1012
234	310	1009
235	310	1006
236	311	1002
237	312	999
238	312	996
239	313	992
240	314	989
241	314	986
242	315	983
243	316	980
244	317	977
245	317	974
246	318	971
247	319	967
248	319	964
249	320	961
250	321	958
251	321	955
252	322	951
253	323	948
254	323	945
255	324	942
256	324	939
257	325	936
258	326	933
259	326	930
260	327	927
261	328	924
262	328	921
263	329	918
264	330	915
265	330	913
266	331	910
267	332	907
268	332	904
269	333	901
270	334	898
271	334	895
272	335	893
273	336	890
274	336	887
275	337	884
276	337	881
277	338	879
278	339	876
279	340	874
280	340	872
281	341	869
282	342	867
283	343	864
284	343	862
285	344	860
286	345	858
287	346	856
288	347	854
289	348	852
290	348	850
291	349	847
292	350	845
293	351	843
294	351	841
295	352	838
296	353	836
297	354	834
298	355	832
299	355	830
300	356	827
301	357	825
302	358	823
303	358	821
304	359	819
305	360	817
306	361	815
307	362	813
308	362	811
309	363	809
310	364	807
311	365	805
312	365	803
313	366	801
314	367	799
315	368	796
316	368	794
317	369	792
318	370	790
319	371	788
320	371	786
321	372	784
322	373	782
323	374	780
324	374	778
325	375	775
326	376	773
327	376	771
328	377	769
329	377	767
330	378	765
331	379	763
332	380	761
333	380	759
334	381	757
335	382	755
336	382	752
337	383	750
338	384	748
339	384	746
340	385	744
341	386	742
342	386	740
343	387	738
344	388	737
345	389	735
346	389	733
347	390	731
348	391	729
349	391	727
350	392	725
351	393	723
352	393	721
353	394	720
354	395	718
355	396	716
356	396	714
357	397	712
358	398	710
359	398	708
360	399	706
361	400	705
362	400	703
363	401	701
364	402	700
365	403	698
366	403	696
367	404	694
368	405	692
369	405	690
370	406	688
371	407	687
372	407	685
373	408	683
374	409	681
375	409	679
376	410	678
377	411	676
378	411	674
379	412	672
380	413	671
381	413	669
382	414	667
383	415	665
384	416	664
385	416	662
386	417	661
387	417	659
388	418	657
389	419	655
390	419	654
391	420	652
392	421	650
393	422	649
394	422	647
395	423	645
396	424	644
397	424	642
398	425	641
399	426	639
400	426	637
401	427	636
402	428	634
403	428	632
404	429	631
405	430	629
406	431	628
407	431	626
408	432	625
409	433	623
410	434	621
411	434	620
412	435	618
413	435	617
414	436	615
415	437	613
416	437	612
417	438	610
418	439	609
419	440	607
420	440	606
421	441	604
422	442	602
423	442	601
424	443	599
425	444	598
426	444	596
427	445	595
428	445	593
429	446	592
430	447	590
431	447	588
432	448	587
433	449	585
434	449	584
435	450	582
436	451	581
437	451	579
438	452	577
439	452	576
440	453	575
441	454	573
442	454	571
443	455	570
444	456	568
445	456	567
446	457	565
447	457	564
448	458	562
449	459	561
450	460	560
451	460	558
452	461	557
453	461	555
454	462	554
455	463	552
456	463	551
457	464	549
458	465	548
459	465	546
460	466	545
461	467	543
462	467	542
463	468	541
464	468	539
465	469	538
466	470	536
467	470	535
